DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
550.00	 99.93
551.00	 99.97
552.00	 99.76
553.00	 99.51
554.00	 99.47
555.00	 99.51
556.00	 99.45
557.00	 99.35
558.00	 99.33
559.00	 99.33
560.00	 99.26
561.00	 99.26
562.00	 99.43
563.00	 99.59
564.00	 99.59
565.00	 99.54
566.00	 99.58
567.00	 99.60
568.00	 99.51
569.00	 99.50
570.00	 99.66
571.00	 99.80
572.00	 99.74
573.00	 99.62
574.00	 99.61
575.00	 99.64
576.00	 99.58
577.00	 99.53
578.00	 99.59
579.00	 99.66
580.00	 99.65
581.00	 99.66
582.00	 99.77
583.00	 99.84
584.00	 99.76
585.00	 99.61
586.00	 99.54
587.00	 99.50
588.00	 99.45
589.00	 99.49
590.00	 99.65
591.00	 99.80
592.00	 99.80
593.00	 99.72
594.00	 99.71
595.00	 99.73
596.00	 99.70
597.00	 99.68
598.00	 99.74
599.00	 99.80
600.00	 99.76
601.00	 99.67
602.00	 99.61
603.00	 99.57
604.00	 99.53
605.00	 99.52
606.00	 99.57
607.00	 99.61
608.00	 99.60
609.00	 99.61
610.00	 99.68
611.00	 99.74
612.00	 99.72
613.00	 99.69
614.00	 99.70
615.00	 99.71
616.00	 99.64
617.00	 99.56
618.00	 99.53
619.00	 99.52
620.00	 99.46
621.00	 99.43
622.00	 99.45
623.00	 99.50
624.00	 99.49
625.00	 99.48
626.00	 99.51
627.00	 99.54
628.00	 99.51
629.00	 99.50
630.00	 99.55
631.00	 99.60
632.00	 99.59
633.00	 99.56
634.00	 99.56
635.00	 99.57
636.00	 99.55
637.00	 99.53
638.00	 99.57
639.00	 99.63
640.00	 99.66
641.00	 99.66
642.00	 99.67
643.00	 99.68
644.00	 99.66
645.00	 99.64
646.00	 99.64
647.00	 99.65
648.00	 99.64
649.00	 99.66
650.00	 99.73
651.00	 99.79
652.00	 99.77
653.00	 99.72
654.00	 99.70
655.00	 99.71
656.00	 99.71
657.00	 99.68
658.00	 99.64
659.00	 99.60
660.00	 99.56
661.00	 99.54
662.00	 99.58
663.00	 99.60
664.00	 99.58
665.00	 99.54
666.00	 99.53
667.00	 99.56
668.00	 99.59
669.00	 99.59
670.00	 99.62
671.00	 99.65
672.00	 99.63
673.00	 99.62
674.00	 99.63
675.00	 99.66
676.00	 99.66
677.00	 99.65
678.00	 99.67
679.00	 99.68
680.00	 99.65
681.00	 99.61
682.00	 99.60
683.00	 99.61
684.00	 99.62
685.00	 99.63
686.00	 99.67
687.00	 99.70
688.00	 99.70
689.00	 99.67
690.00	 99.65
691.00	 99.64
692.00	 99.63
693.00	 99.62
694.00	 99.64
695.00	 99.65
696.00	 99.65
697.00	 99.64
698.00	 99.67
699.00	 99.69
700.00	 99.67
701.00	 99.65
702.00	 99.64
703.00	 99.65
704.00	 99.65
705.00	 99.65
706.00	 99.66
707.00	 99.66
708.00	 99.64
709.00	 99.62
710.00	 99.62
711.00	 99.63
712.00	 99.63
713.00	 99.61
714.00	 99.61
715.00	 99.60
716.00	 99.59
717.00	 99.59
718.00	 99.60
719.00	 99.62
720.00	 99.62
721.00	 99.61
722.00	 99.60
723.00	 99.59
724.00	 99.58
725.00	 99.58
726.00	 99.61
727.00	 99.63
728.00	 99.64
729.00	 99.63
730.00	 99.64
731.00	 99.64
732.00	 99.63
733.00	 99.62
734.00	 99.63
735.00	 99.64
736.00	 99.63
737.00	 99.63
738.00	 99.66
739.00	 99.68
740.00	 99.67
741.00	 99.65
742.00	 99.65
743.00	 99.65
744.00	 99.64
745.00	 99.63
746.00	 99.64
747.00	 99.67
748.00	 99.69
749.00	 99.69
750.00	 99.70
751.00	 99.69
752.00	 99.67
753.00	 99.66
754.00	 99.68
755.00	 99.70
756.00	 99.69
757.00	 99.68
758.00	 99.67
759.00	 99.67
760.00	 99.65
761.00	 99.65
762.00	 99.67
763.00	 99.69
764.00	 99.70
765.00	 99.69
766.00	 99.69
767.00	 99.69
768.00	 99.68
769.00	 99.67
770.00	 99.68
771.00	 99.69
772.00	 99.70
773.00	 99.70
774.00	 99.71
775.00	 99.70
776.00	 99.67
777.00	 99.63
778.00	 99.61
779.00	 99.60
780.00	 99.59
781.00	 99.59
782.00	 99.59
783.00	 99.60
784.00	 99.59
785.00	 99.58
786.00	 99.58
787.00	 99.57
788.00	 99.53
789.00	 99.50
790.00	 99.48
791.00	 99.48
792.00	 99.46
793.00	 99.45
794.00	 99.44
795.00	 99.44
796.00	 99.40
797.00	 99.37
798.00	 99.34
799.00	 99.32
800.00	 99.30
801.00	 99.28
802.00	 99.26
803.00	 99.22
804.00	 99.14
805.00	 99.03
806.00	 98.94
807.00	 98.85
808.00	 98.79
809.00	 98.78
810.00	 98.82
811.00	 98.89
812.00	 98.96
813.00	 99.05
814.00	 99.14
815.00	 99.22
816.00	 99.28
817.00	 99.33
818.00	 99.38
819.00	 99.41
820.00	 99.42
821.00	 99.42
822.00	 99.43
823.00	 99.44
824.00	 99.42
825.00	 99.41
826.00	 99.40
827.00	 99.39
828.00	 99.37
829.00	 99.35
830.00	 99.35
831.00	 99.35
832.00	 99.34
833.00	 99.33
834.00	 99.31
835.00	 99.27
836.00	 99.19
837.00	 99.05
838.00	 98.85
839.00	 98.60
840.00	 98.37
841.00	 98.27
842.00	 98.34
843.00	 98.54
844.00	 98.77
845.00	 98.98
846.00	 99.15
847.00	 99.26
848.00	 99.32
849.00	 99.35
850.00	 99.39
851.00	 99.42
852.00	 99.44
853.00	 99.45
854.00	 99.45
855.00	 99.46
856.00	 99.47
857.00	 99.48
858.00	 99.50
859.00	 99.52
860.00	 99.52
861.00	 99.52
862.00	 99.53
863.00	 99.54
864.00	 99.54
865.00	 99.54
866.00	 99.56
867.00	 99.56
868.00	 99.55
869.00	 99.55
870.00	 99.56
871.00	 99.57
872.00	 99.57
873.00	 99.57
874.00	 99.59
875.00	 99.59
876.00	 99.59
877.00	 99.58
878.00	 99.60
879.00	 99.61
880.00	 99.62
881.00	 99.62
882.00	 99.63
883.00	 99.63
884.00	 99.62
885.00	 99.61
886.00	 99.60
887.00	 99.59
888.00	 99.57
889.00	 99.56
890.00	 99.55
891.00	 99.54
892.00	 99.50
893.00	 99.45
894.00	 99.38
895.00	 99.29
896.00	 99.17
897.00	 99.06
898.00	 98.99
899.00	 98.97
900.00	 98.99
901.00	 99.05
902.00	 99.14
903.00	 99.24
904.00	 99.32
905.00	 99.39
906.00	 99.45
907.00	 99.50
908.00	 99.53
909.00	 99.55
910.00	 99.58
911.00	 99.60
912.00	 99.60
913.00	 99.60
914.00	 99.61
915.00	 99.63
916.00	 99.64
917.00	 99.66
918.00	 99.67
919.00	 99.67
920.00	 99.67
921.00	 99.67
922.00	 99.67
923.00	 99.67
924.00	 99.67
925.00	 99.66
926.00	 99.66
927.00	 99.65
928.00	 99.65
929.00	 99.64
930.00	 99.64
931.00	 99.64
932.00	 99.64
933.00	 99.63
934.00	 99.63
935.00	 99.62
936.00	 99.59
937.00	 99.56
938.00	 99.53
939.00	 99.51
940.00	 99.49
941.00	 99.48
942.00	 99.49
943.00	 99.51
944.00	 99.52
945.00	 99.54
946.00	 99.55
947.00	 99.56
948.00	 99.55
949.00	 99.55
950.00	 99.56
951.00	 99.56
952.00	 99.55
953.00	 99.54
954.00	 99.52
955.00	 99.51
956.00	 99.49
957.00	 99.47
958.00	 99.45
959.00	 99.44
960.00	 99.41
961.00	 99.38
962.00	 99.34
963.00	 99.30
964.00	 99.25
965.00	 99.19
966.00	 99.10
967.00	 98.97
968.00	 98.79
969.00	 98.56
970.00	 98.31
971.00	 98.06
972.00	 97.88
973.00	 97.81
974.00	 97.87
975.00	 98.03
976.00	 98.24
977.00	 98.46
978.00	 98.67
979.00	 98.86
980.00	 99.01
981.00	 99.12
982.00	 99.22
983.00	 99.30
984.00	 99.35
985.00	 99.37
986.00	 99.37
987.00	 99.36
988.00	 99.34
989.00	 99.29
990.00	 99.24
991.00	 99.16
992.00	 99.04
993.00	 98.89
994.00	 98.72
995.00	 98.52
996.00	 98.32
997.00	 98.20
998.00	 98.18
999.00	 98.28
1000.00	 98.45
1001.00	 98.66
1002.00	 98.85
1003.00	 99.00
1004.00	 99.10
1005.00	 99.17
1006.00	 99.23
1007.00	 99.28
1008.00	 99.31
1009.00	 99.33
1010.00	 99.36
1011.00	 99.38
1012.00	 99.39
1013.00	 99.39
1014.00	 99.40
1015.00	 99.40
1016.00	 99.40
1017.00	 99.39
1018.00	 99.39
1019.00	 99.39
1020.00	 99.40
1021.00	 99.40
1022.00	 99.40
1023.00	 99.41
1024.00	 99.41
1025.00	 99.41
1026.00	 99.42
1027.00	 99.43
1028.00	 99.43
1029.00	 99.42
1030.00	 99.42
1031.00	 99.42
1032.00	 99.42
1033.00	 99.41
1034.00	 99.41
1035.00	 99.41
1036.00	 99.41
1037.00	 99.40
1038.00	 99.40
1039.00	 99.39
1040.00	 99.37
1041.00	 99.35
1042.00	 99.34
1043.00	 99.33
1044.00	 99.31
1045.00	 99.30
1046.00	 99.31
1047.00	 99.32
1048.00	 99.34
1049.00	 99.36
1050.00	 99.38
1051.00	 99.39
1052.00	 99.40
1053.00	 99.41
1054.00	 99.43
1055.00	 99.45
1056.00	 99.46
1057.00	 99.46
1058.00	 99.46
1059.00	 99.45
1060.00	 99.45
1061.00	 99.45
1062.00	 99.45
1063.00	 99.45
1064.00	 99.45
1065.00	 99.45
1066.00	 99.46
1067.00	 99.47
1068.00	 99.47
1069.00	 99.46
1070.00	 99.45
1071.00	 99.45
1072.00	 99.45
1073.00	 99.45
1074.00	 99.45
1075.00	 99.46
1076.00	 99.45
1077.00	 99.44
1078.00	 99.44
1079.00	 99.44
1080.00	 99.43
1081.00	 99.43
1082.00	 99.43
1083.00	 99.43
1084.00	 99.43
1085.00	 99.42
1086.00	 99.40
1087.00	 99.38
1088.00	 99.36
1089.00	 99.35
1090.00	 99.35
1091.00	 99.35
1092.00	 99.35
1093.00	 99.33
1094.00	 99.31
1095.00	 99.28
1096.00	 99.25
1097.00	 99.21
1098.00	 99.17
1099.00	 99.14
1100.00	 99.12
1101.00	 99.10
1102.00	 99.09
1103.00	 99.10
1104.00	 99.11
1105.00	 99.12
1106.00	 99.14
1107.00	 99.17
1108.00	 99.20
1109.00	 99.24
1110.00	 99.29
1111.00	 99.33
1112.00	 99.35
1113.00	 99.35
1114.00	 99.35
1115.00	 99.34
1116.00	 99.33
1117.00	 99.32
1118.00	 99.32
1119.00	 99.32
1120.00	 99.33
1121.00	 99.34
1122.00	 99.36
1123.00	 99.37
1124.00	 99.37
1125.00	 99.37
1126.00	 99.37
1127.00	 99.37
1128.00	 99.37
1129.00	 99.37
1130.00	 99.38
1131.00	 99.39
1132.00	 99.39
1133.00	 99.39
1134.00	 99.39
1135.00	 99.38
1136.00	 99.37
1137.00	 99.36
1138.00	 99.34
1139.00	 99.31
1140.00	 99.27
1141.00	 99.23
1142.00	 99.20
1143.00	 99.16
1144.00	 99.11
1145.00	 99.07
1146.00	 99.02
1147.00	 98.98
1148.00	 98.93
1149.00	 98.87
1150.00	 98.82
1151.00	 98.77
1152.00	 98.72
1153.00	 98.69
1154.00	 98.68
1155.00	 98.67
1156.00	 98.65
1157.00	 98.63
1158.00	 98.61
1159.00	 98.58
1160.00	 98.54
1161.00	 98.50
1162.00	 98.45
1163.00	 98.39
1164.00	 98.31
1165.00	 98.23
1166.00	 98.17
1167.00	 98.13
1168.00	 98.14
1169.00	 98.20
1170.00	 98.31
1171.00	 98.46
1172.00	 98.62
1173.00	 98.76
1174.00	 98.89
1175.00	 98.98
1176.00	 99.05
1177.00	 99.11
1178.00	 99.16
1179.00	 99.20
1180.00	 99.23
1181.00	 99.25
1182.00	 99.27
1183.00	 99.29
1184.00	 99.31
1185.00	 99.33
1186.00	 99.34
1187.00	 99.36
1188.00	 99.37
1189.00	 99.38
1190.00	 99.38
1191.00	 99.37
1192.00	 99.36
1193.00	 99.36
1194.00	 99.35
1195.00	 99.35
1196.00	 99.35
1197.00	 99.35
1198.00	 99.36
1199.00	 99.37
1200.00	 99.37
1201.00	 99.37
1202.00	 99.37
1203.00	 99.37
1204.00	 99.37
1205.00	 99.38
1206.00	 99.39
1207.00	 99.40
1208.00	 99.40
1209.00	 99.39
1210.00	 99.37
1211.00	 99.36
1212.00	 99.33
1213.00	 99.31
1214.00	 99.29
1215.00	 99.26
1216.00	 99.24
1217.00	 99.22
1218.00	 99.22
1219.00	 99.22
1220.00	 99.23
1221.00	 99.25
1222.00	 99.27
1223.00	 99.29
1224.00	 99.31
1225.00	 99.32
1226.00	 99.33
1227.00	 99.34
1228.00	 99.34
1229.00	 99.34
1230.00	 99.34
1231.00	 99.34
1232.00	 99.34
1233.00	 99.35
1234.00	 99.35
1235.00	 99.35
1236.00	 99.35
1237.00	 99.35
1238.00	 99.35
1239.00	 99.36
1240.00	 99.36
1241.00	 99.36
1242.00	 99.36
1243.00	 99.36
1244.00	 99.35
1245.00	 99.34
1246.00	 99.33
1247.00	 99.31
1248.00	 99.29
1249.00	 99.27
1250.00	 99.24
1251.00	 99.21
1252.00	 99.16
1253.00	 99.11
1254.00	 99.07
1255.00	 99.05
1256.00	 99.04
1257.00	 99.06
1258.00	 99.08
1259.00	 99.12
1260.00	 99.15
1261.00	 99.17
1262.00	 99.20
1263.00	 99.22
1264.00	 99.24
1265.00	 99.25
1266.00	 99.27
1267.00	 99.28
1268.00	 99.30
1269.00	 99.31
1270.00	 99.32
1271.00	 99.33
1272.00	 99.34
1273.00	 99.34
1274.00	 99.34
1275.00	 99.35
1276.00	 99.35
1277.00	 99.35
1278.00	 99.35
1279.00	 99.36
1280.00	 99.36
1281.00	 99.35
1282.00	 99.35
1283.00	 99.35
1284.00	 99.34
1285.00	 99.33
1286.00	 99.32
1287.00	 99.30
1288.00	 99.29
1289.00	 99.27
1290.00	 99.25
1291.00	 99.22
1292.00	 99.20
1293.00	 99.17
1294.00	 99.16
1295.00	 99.15
1296.00	 99.15
1297.00	 99.15
1298.00	 99.16
1299.00	 99.16
1300.00	 99.16
1301.00	 99.14
1302.00	 99.12
1303.00	 99.11
1304.00	 99.10
1305.00	 99.12
1306.00	 99.16
1307.00	 99.22
1308.00	 99.27
1309.00	 99.31
1310.00	 99.33
1311.00	 99.35
1312.00	 99.36
1313.00	 99.36
1314.00	 99.37
1315.00	 99.37
1316.00	 99.37
1317.00	 99.36
1318.00	 99.35
1319.00	 99.34
1320.00	 99.33
1321.00	 99.32
1322.00	 99.31
1323.00	 99.29
1324.00	 99.27
1325.00	 99.24
1326.00	 99.22
1327.00	 99.20
1328.00	 99.18
1329.00	 99.17
1330.00	 99.16
1331.00	 99.17
1332.00	 99.18
1333.00	 99.21
1334.00	 99.23
1335.00	 99.26
1336.00	 99.27
1337.00	 99.27
1338.00	 99.26
